,CVE_ID,Overview,CVSS_V3,CVSS_V2,References,vulnerable_software_versions,CWE
10,CVE-2018-1000403,Jenkins project Jenkins AWS CodeDeploy Plugin version 1.19 and earlier contains a Insufficiently Protected Credentials vulnerability in AWSCodeDeployPublisher.java that can result in Credentials Disclosure. This attack appear to be exploitable via local file access. This vulnerability appears to have been fixed in 1.20 and later.,7.8,2.1,https://jenkins.io/security/advisory/2018-06-25/#SECURITY-833,cpe:2.3:a:jenkins:aws_codedeploy:*:*:*:*:*:jenkins:*:*,CWE-522
11,CVE-2008-3684,"Heap-based buffer overflow in aws_tmxn.exe in the Admin Agent service in the server in EMC Documentum ApplicationXtender Workflow, possibly 5.40 SP1 and earlier, allows remote attackers to execute arbitrary code via crafted packet data to TCP port 2606.",,10.0,http://secunia.com/advisories/37070|http://www.zerodayinitiative.com/advisories/ZDI-08-096/,cpe:2.3:a:emc:documentum_applicationxtender:*:sp1:*:*:*:*:*:*,CWE-119
12,CVE-2020-5575,"Cross-site scripting vulnerability in Movable Type series (Movable Type 7 r.4606 (7.2.1) and earlier (Movable Type 7), Movable Type Advanced 7 r.4606 (7.2.1) and earlier (Movable Type Advanced 7), Movable Type for AWS 7 r.4606 (7.2.1) and earlier (Movable Type for AWS 7), Movable Type 6.5.3 and earlier (Movable Type 6.5), Movable Type Advanced 6.5.3 and earlier (Movable Type Advanced 6.5), Movable Type 6.3.11 and earlier (Movable Type 6.3), Movable Type Advanced 6.3.11 and earlier (Movable Type 6.3), Movable Type Premium 1.29 and earlier, and Movable Type Premium Advanced 1.29 and earlier) allows remote attackers to inject arbitrary script or HTML via unspecified vectors.",6.1,4.3,https://jvn.jp/en/jp/JVN28806943/index.html|https://movabletype.org/news/2020/05/mt-730-660-6312-released.html,cpe:2.3:a:sixapart:movable_type:*:*:*:*:advanced:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:premium:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:-:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:advanced:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:-:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:advanced:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:*:aws:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:-:*:*:*|cpe:2.3:a:sixapart:movable_type:*:*:*:*:advanced:*:*:*,CWE-79
13,CVE-2018-16600,"An issue was discovered in Amazon Web Services (AWS) FreeRTOS through 1.3.1, FreeRTOS up to V10.0.1 (with FreeRTOS+TCP), and WITTENSTEIN WHIS Connect middleware TCP/IP component. Out of bounds memory access during parsing of ARP packets in eARPProcessPacket can be used for information disclosure.",5.9,4.3,https://blog.zimperium.com/freertos-tcpip-stack-vulnerabilities-details/|https://blog.zimperium.com/freertos-tcpip-stack-vulnerabilities-put-wide-range-devices-risk-compromise-smart-homes-critical-infrastructure-systems/|https://github.com/aws/amazon-freertos/blob/v1.3.2/CHANGELOG.md,cpe:2.3:a:amazon:amazon_web_services_freertos:*:*:*:*:*:*:*:*|cpe:2.3:a:amazon:freertos:*:*:*:*:*:*:*:*,CWE-200
14,CVE-2017-14705,"DenyAll WAF before 6.4.1 allows unauthenticated remote command execution via TCP port 3001 because shell metacharacters can be inserted into the type parameter to the tailDateFile function in /webservices/stream/tail.php. An iToken authentication parameter is required but can be obtained by exploiting CVE-2017-14706. This affects DenyAll i-Suite LTS 5.5.0 through 5.5.12, i-Suite 5.6, Web Application Firewall 5.7, and Web Application Firewall 6.x before 6.4.1, with On Premises or AWS/Azure cloud deployments.",8.1,9.3,https://github.com/rapid7/metasploit-framework/pull/8980|https://pentest.blog/advisory-denyall-web-application-firewall-unauthenticated-remote-code-execution/|https://www.denyall.com/blog/advisories/advisory-unauthenticated-remote-code-execution-denyall-web-application-firewall/,cpe:2.3:a:denyall:i-suite:5.5.0:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:i-suite:5.5.9:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:i-suite:5.5.10:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:i-suite:5.5.11:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:i-suite:5.5.12:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:i-suite:5.6.0:*:*:*:lts:*:*:*|cpe:2.3:a:denyall:web_application_firewall:5.7.0:*:*:*:*:*:*:*|cpe:2.3:a:denyall:web_application_firewall:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:denyall:web_application_firewall:6.1.0:*:*:*:*:*:*:*|cpe:2.3:a:denyall:web_application_firewall:6.2.0:*:*:*:*:*:*:*|cpe:2.3:a:denyall:web_application_firewall:6.3.0:*:*:*:*:*:*:*|cpe:2.3:a:denyall:web_application_firewall:6.4.0:*:*:*:*:*:*:*,CWE-78
15,CVE-2015-3373,"The Amazon AWS module before 7.x-1.3 for Drupal uses the base URL and AWS access key to generate the access token, which makes it easier for remote attackers to guess the token value and create backups via a crafted URL.",,5.0,http://cgit.drupalcode.org/aws_amazon/commit/?id=9377a26|http://www.openwall.com/lists/oss-security/2015/01/29/6|http://www.securityfocus.com/bid/74277|https://www.drupal.org/node/2415457|https://www.drupal.org/node/2415873,cpe:2.3:a:amazon_aws_project:amazon_aws:*:*:*:*:*:drupal:*:*,CWE-200
16,CVE-2019-8989,"The application server component of TIBCO Software Inc.'s TIBCO Data Science for AWS, and TIBCO Spotfire Data Science contains a vulnerability that theoretically enables a user to spoof their account to look like a different user in the affected system. Affected releases are TIBCO Software Inc.'s TIBCO Data Science for AWS: versions up to and including 6.4.0, and TIBCO Spotfire Data Science: versions up to and including 6.4.0.",4.3,4.0,http://www.securityfocus.com/bid/107608|http://www.tibco.com/services/support/advisories|https://www.tibco.com/support/advisories/2019/03/tibco-security-advisory-march-26-2019-tibco-spotfire-data-science-2019-8989,cpe:2.3:a:tibco:data_science_for_aws:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_data_science:*:*:*:*:*:*:*:*,CWE-20
17,CVE-2019-17336,"The Data access layer component of TIBCO Software Inc.'s TIBCO Spotfire Analytics Platform for AWS Marketplace and TIBCO Spotfire Server contains multiple vulnerabilities that theoretically allow an attacker access to information that can lead to obtaining credentials used to access Spotfire data sources. The attacker would need privileges to save a Spotfire file to the library, and only applies in a situation where NTLM credentials, or a credentials profile is in use. Affected releases are TIBCO Software Inc.'s TIBCO Spotfire Analytics Platform for AWS Marketplace: version 10.6.0 and TIBCO Spotfire Server: versions 7.11.7 and below, versions 7.12.0, 7.13.0, 7.14.0, 10.0.0, 10.0.1, 10.1.0, 10.2.0, 10.2.1, 10.3.0, 10.3.1, 10.3.2, 10.3.3, and 10.3.4, versions 10.4.0, 10.5.0, and 10.6.0.",6.5,4.0,http://www.tibco.com/services/support/advisories|https://www.tibco.com/support/advisories/2019/12/tibco-security-advisory-december-17-2019-tibco-spotfire-2019-17336,cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:10.6.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.12.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.13.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.14.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.1.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.2.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.2.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.3.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.3.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.3.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.3.3:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.3.4:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.4.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.6.0:*:*:*:*:*:*:*,CWE-522
18,CVE-2020-2090,A cross-site request forgery vulnerability in Jenkins Amazon EC2 Plugin 1.47 and earlier allows attackers to connect to an attacker-specified URL within the AWS region using attacker-specified credentials IDs obtained through another method.,8.8,6.8,https://jenkins.io/security/advisory/2020-01-15/#SECURITY-1004,cpe:2.3:a:jenkins:amazon_ec2:*:*:*:*:*:jenkins:*:*,CWE-352
19,CVE-2019-0857,"A spoofing vulnerability that could allow a security feature bypass exists in when Azure DevOps Server does not properly sanitize user provided input, aka 'Azure DevOps Server Spoofing Vulnerability'.",6.5,4.3,http://www.securityfocus.com/bid/107760|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0857,cpe:2.3:o:microsoft:azure_devops_server:2019:*:*:*:*:*:*:*,CWE-20
20,CVE-2017-9655,"A Cross-Site Scripting issue was discovered in OSIsoft PI Integrator for Business Analytics before 2016 R2, PI Integrator for Microsoft Azure before 2016 R2 SP1, and PI Integrator for SAP HANA before 2017. An attacker may be able to upload a malicious script that attempts to redirect users to a malicious web site.",5.4,3.5,http://www.securityfocus.com/bid/100212|https://ics-cert.us-cert.gov/advisories/ICSA-17-220-01|https://techsupport.osisoft.com/Troubleshooting/Alerts/AL00324,cpe:2.3:a:osisoft:pi_integrator_for_business_analystics:*:*:*:*:*:*:*:*|cpe:2.3:a:osisoft:pi_integrator_for_microsoft_azure:*:*:*:*:*:*:*:*|cpe:2.3:a:osisoft:pi_integrator_for_sap_hana:*:*:*:*:*:*:*:*,CWE-79
21,CVE-2019-11210,"The server component of TIBCO Software Inc.'s TIBCO Enterprise Runtime for R - Server Edition, and TIBCO Spotfire Analytics Platform for AWS Marketplace contains a vulnerability that theoretically allows an unauthenticated user to bypass access controls and remotely execute code using the operating system account hosting the affected component. This issue affects: TIBCO Enterprise Runtime for R - Server Edition versions 1.2.0 and below, and TIBCO Spotfire Analytics Platform for AWS Marketplace versions 10.4.0 and 10.5.0.",10.0,10.0,http://www.tibco.com/services/support/advisories|https://www.tibco.com/support/advisories/2019/09/tibco-security-advisory-september-17-2019-tibco-enterprise-runtime-for-r-server-2019-11210,cpe:2.3:a:tibco:enterprise_runtime_for_r:*:*:*:*:server:*:*:*|cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:10.4.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:10.5.0:*:*:*:*:*:*:*,CWE-20
22,CVE-2008-3685,"Directory traversal vulnerability in aws_tmxn.exe in the Admin Agent service in the server in EMC Documentum ApplicationXtender Workflow, possibly 5.40 SP1 and earlier, allows remote attackers to upload arbitrary files, and execute arbitrary code, via directory traversal sequences in requests to TCP port 2606.",,10.0,http://secunia.com/advisories/37070|http://www.zerodayinitiative.com/advisories/ZDI-08-095/,cpe:2.3:a:emc:documentum_applicationxtender_workflow_manager:*:sp1:*:*:*:*:*:*,CWE-22
23,CVE-2019-10777,"In aws-lambda versions prior to version 1.0.5, the ""config.FunctioName"" is used to construct the argument used within the ""exec"" function without any sanitization. It is possible for a user to inject arbitrary commands to the ""zipCmd"" used within ""config.FunctionName"".",9.8,7.5,https://snyk.io/vuln/SNYK-JS-AWSLAMBDA-540839,cpe:2.3:a:amazon:aws-lambda:*:*:*:*:*:*:*:*,CWE-78
